Section,Category,Type,Manufactured,Price,Energy_value
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Марс""",364,370.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""ГросШеф""",799,374.0
Бакалея,Консервы и мёд,Рыбные консервы,"ООО ""Балтфиштрейд""",144,356.0
Бакалея,Продукты быстрого приготовления,"Лапша, супы, пюре",ООО «Юнилевер Русь»,29,201.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Оптимум""",155,419.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Кондитерская фабрика Покровск""",104,374.0
Напитки,"Лимонады, тоники, газированные напитки",None,JSC Lomisi,92,45.0
"Молочные продукты, сыр, яйца",Сыры,Сыры с плесенью,"ЗАО ""Томмолоко""",229,303.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Дымовское колбасное производство""",119,270.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Четвероногий гурман""",97,355.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"ЗАО ""Карат плюс""",539,296.0
Бакалея,Крупы и макаронные изделия,Другие крупы,"ООО ""Ресурс""",35,360.0
"Молочные продукты, сыр, яйца","Масло сливочное, маргарин",Маргарины и спреды,"АО ""Жировой комбинат""",24,540.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""МАК-Иваново""",134,380.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"(А166) ООО ""Елецкий мясокомбинат"", (А202) ОАО ""Великоновгородский мясной двор"", см. маркировку на банке.",109,127.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ООО ""П/Ф ""Элинар-Бройлер""",189,185.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,ООО «Фонте Аква ПК»,62,15.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры",ООО «Мон’дэлис Русь»,89,462.0
"Молочные продукты, сыр, яйца",Сыры,Сыры с плесенью,"АО ""Ефремовский маслосыродельный комбинат""",254,256.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,Вафо Прага с.р.о.,369,410.0
"Мясо, рыба, кулинария",Птица,Полуфабрикаты из птицы,"ООО ""ПензаМолИнвест""",145,330.0
Бакалея,"Орехи, сухофрукты, семечки",Семечки,"ООО ""Биопак""",43,590.0
Бакалея,"Соль, сахар, специи",Специи и приправы,"ООО ""Проммикс""",92,289.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Рыбные закуски и пресервы,"ООО ""ТД ""БАЛТИЙСКИЙ БЕРЕГ""",139,122.0
"Молочные продукты, сыр, яйца",Сыры,Сыры рассольные,"АО ""Ефремовский маслосыродельный комбинат""",135,242.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ОАО ""Белебеевский ордена ""Знак почета"" молочный комбинат""",149,353.0
Бакалея,Диетические продукты,Спортивное питание,"ООО ""Здоровая планета""",92,390.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""ФКПЧФ Бобимэкс тм""",21,30.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлеб,"ЗАО БКК ""Коломенский""",72,350.0
Бакалея,"Орехи, сухофрукты, семечки",Семечки,"ООО ""Мартин""",179,578.0
"Молочные продукты, сыр, яйца",Сыры,Сыры плавленые,"ЗАО ""Карачевмолпром""",79,311.0
Бакалея,Чипсы и снеки,Чипсы,"ЗАО ""Бриджтаун Фудс""",39,510.0
Бакалея,Консервы и мёд,Овощные консервы,ООО «Меленковский консервный завод»,127,65.0
Детские товары,Детское питание,"Чай, батончики, печенье","""NARIDA AG""",59,419.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Наборы конфет,"ООО ""Шоколадные традиции""",86,560.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Марс""",64,350.0
Бакалея,Диетические продукты,Спортивное питание,"ООО ""АРТ Современные научные технологии""",399,394.0
Бакалея,Консервы и мёд,Овощные консервы,"АООТ ""Арташатский консервный завод""",139,87.0
Бакалея,Крупы и макаронные изделия,Рис,"АО ""Виртекс""",119,320.0
Бакалея,Чипсы и снеки,Чипсы,Польша,129,505.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""МПЗ Богородский""",819,160.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""ВБД Напитки""",89,45.0
Бакалея,"Орехи, сухофрукты, семечки",Сухофрукты и цукаты,"ООО ""Зеленая горка""",119,45.0
Бакалея,"Соль, сахар, специи",Специи и приправы,"ООО ""Проммикс""",49,76.0
Собственное производство,Кулинария,Овощные наборы,"ООО ""ГИПЕРГЛОБУС""",139,33.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Рыбные закуски и пресервы,"ООО ""СОЮЗ-БИЛЛИОН""",275,238.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,КФХ Хван М.Н.,395,288.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""ПиР-ПАК""",239,431.0
Бакалея,"Соль, сахар, специи",Специи и приправы,ООО «Юнилевер Русь»,51,260.0
"Молочные продукты, сыр, яйца",Соевые продукты,None,Alpro C.V.A.,274,44.0
Бакалея,Чипсы и снеки,Чипсы,"ООО ""Фрито Лей Мануфактуринг""",93,520.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Кубань Агро-продукт""",132,9.0
"Молочные продукты, сыр, яйца","Масло сливочное, маргарин",Масло сливочное,"АО АгроИнновационноеСодружество ""ФермаРоста""",136,748.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Пастила,"АО ""Кондитерская фабрика ""Пермская""",64,190.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Рыбные закуски и пресервы,ИП Лукашов Д.В.,59,204.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Бионика РУС""",129,899.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"ООО ""ФУД МИЛК""",119,345.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Марс""",299,393.0
Замороженные продукты,"Мороженое, десерты",None,"ООО ""Талосто-3000""",74,230.0
Бакалея,Консервы и мёд,Рыбные консервы,"ООО ""ТД ""Вкусные консервы""",69,356.0
Бакалея,"Орехи, сухофрукты, семечки",Орехи,"ООО ""МОК - производство""",329,600.0
Бакалея,"Чай, кофе, какао","Цикорий, зерновые напитки","ЗАО ""Еремеевское""",142,160.7
Бакалея,Продукты быстрого приготовления,"Лапша, супы, пюре","ООО ""Доширак Коя""",45,430.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"ОАО ""Савушкин продукт""",42,62.8
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Рыбные закуски и пресервы,"ООО ""ТД ""БАЛТИЙСКИЙ БЕРЕГ""",199,413.0
Детские товары,Детское питание,Детские молочные продукты,"ООО ""Комбинат детского питания""",29,107.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры",P.W. Spomet Sp.J.,124,456.0
Бакалея,Консервы и мёд,Готовые блюда,"ООО ""Барс""",199,180.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сметана,"ООО ""Останкинский молочный комбинат""",69,204.0
Бакалея,"Растительные масла, соусы",Десертные соусы и сиропы,"ООО ""Здоровье+""",299,310.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ЗАО ""Микояновский мясокомбинат""",799,514.0
Бакалея,Консервы и мёд,Овощные консервы,Olive Line Int S.L.,79,134.0
"Хлеб, кондитерские изделия",Булочки и сладкая выпечка,"Булочки, пончики, ватрушки","ЗАО БКК ""Коломенский""",31,335.0
"Молочные продукты, сыр, яйца",Сыры,Сыры с плесенью,"ООО ""Тревиль""",159,280.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","АО ""Нижегородский масло-жировой комбинат""",39,310.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Петропродукт-Отрадное""",182,95.0
Бакалея,"Орехи, сухофрукты, семечки",Урбеч и пасты,"ООО ""Салаты и Деликатесы""",299,614.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"ОАО ""Савушкин продукт""",19,87.6
Бакалея,Мука и кулинарные ингредиенты,Мука,"ООО ""Сампо""",71,283.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""Аскания-Аква""",32,45.0
Детские товары,Детское питание,Детские молочные продукты,"См. цифру в маркировке: 3 - АО ""ВБД"", 4 - ООО ""ВБД""",46,71.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"NAM VIET FOODS AND BEVERAGE Co., Ltd",75,41.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Крабовое мясо и палочки,"ОАО ПКП ""Меридиан""",115,120.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлеб,"ЗАО ""Хлебокомбинат ""Пеко""",18,265.0
Напитки,Безалкогольное пиво,None,"ООО ""Пивоваренная компани ""Балтика""",64,35.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""МПЗ Ремит""",769,90.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли",Пряники,ИП Манукян А.М.,84,364.0
Напитки,Ореховые и злаковые напитки,None,Mona Naturprodukte GmbH,74,42.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Морепродукты и салаты,"ООО ""Вичюнай-Русь""",169,62.8
Бакалея,"Орехи, сухофрукты, семечки",Смеси орехов и сухофруктов,"ООО ""Осфарафуд""",119,45.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,EUROPASTA SE.,96,353.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","""Шаркон"" ЕООД",229,121.4
Напитки,"Соки, нектары",Соки,"ООО ""Тихвинский уездъ""",119,28.0
Бакалея,Чипсы и снеки,Сухарики,"ООО ""Фрито Лей Мануфактуринг""",37,450.0
Бакалея,Продукты быстрого приготовления,"Лапша, супы, пюре","ООО ""Нестле Россия""",21,374.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Вкусный продукт""",78,20.0
Бакалея,"Орехи, сухофрукты, семечки",Орехи,"ООО ""БИОПАК""",99,600.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сметана,"ООО ""КОЛОМЕНСКОЕ МОЛОКО""",69,160.0
Бакалея,"Чай, кофе, какао",Черный чай,"ООО ""Аличе""",279,9.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""Джаазз""",129,580.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""МДБ""",449,487.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Замороженные морепродукты,"ООО ""Вичюнай-Русь""",1499,96.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сырки творожные,"Сырок: Дмитровский молочный завод&lt,br/&gt,Переводилка: ООО ""ТВМ""",113,358.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Московский Дом Бородина""",994,419.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Марс""",84,78.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"АО ""Данон Россия""",49,112.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Славянский консервный комбинат""",74,90.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли",Вафли,"ООО ""КДВ Воронеж""",59,510.0
"Хлеб, кондитерские изделия",Торты и пирожные,Торты и пирожные длительного хранения,"АО ""КБК ""Черемушки""",234,370.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Пента Импекс Кампани Лимитед,247,510.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,ИП Володин А.А.,99,420.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ПК ""Аквалайф""",49,38.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","см. цифру в маркировке: (3) АО ""ВБД"", (4) ООО ""ВБД""",16,67.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"ООО ""Фили-Бейкер""",399,346.0
Бакалея,Консервы и мёд,Овощные консервы,ООО «Вкусный продукт»,87,90.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""ТРИУМФ ГРУП""",284,32.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлеб,"ООО ""Фацер""",58,253.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Силит""",76,46.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""Терра""",152,274.5
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры",Raisio Nutrition LTD,43,420.0
Бакалея,"Растительные масла, соусы",Десертные соусы и сиропы,"ООО ""Пищехимпродукт""",139,260.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ООО ""Брянский бройлер""",329,110.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже",ИП Денисов Алексей Николаевич,169,378.0
Детские товары,Детское питание,Детское пюре,"АО ""Данон Россия""",77,139.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","ООО ""Нальчикский молочный комбинат""",44,51.0
Напитки,"Соки, нектары",Соки,"ОАО ""Сады Придонья""",83,44.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Кока-Кола ЭйчБиСи Евразия""",21,48.0
"Молочные продукты, сыр, яйца",Сыры,Сыры копченые,Россия,719,370.0
Бакалея,Чипсы и снеки,Другие снеки,"ООО ""Антарес""",69,366.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"СОАО ""Коммунарка""",69,561.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""ФКПЧФ БОБИМЭКС ТМ""",22,30.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,Newlat GmbH,99,352.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""ГРАН-МЭР""",21,210.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ОАО ""ЧМПЗ""",715,450.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""ДиетМарка""",152,350.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Триада - Покоторг""",145,55.0
"Молочные продукты, сыр, яйца",Соевые продукты,None,Alpro C.V.A.,89,54.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Замороженная рыба,"ООО ""РЫБНАЯ КОМПАНИЯ ""ПОЛЯРНОЕ МОРЕ+""",319,77.0
Бакалея,Чипсы и снеки,Другие снеки,"ООО ""Кондитерская фабрика ""Богородская""",78,250.0
Бакалея,"Соль, сахар, специи",Специи и приправы,"ЧАО ""Волыньхолдинг""",69,115.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"ОАО ""Кондитерский концерн Бабаевский""",95,530.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Ванслад Ритейл""",154,465.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""Мултон""",32,48.0
Напитки,Морсы и компоты,None,"ЗАО ""Глобус""",46,30.0
Наши марки,Глобус,None,"ООО ""ФерЭльГам""",64,25.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ЗАО ""Микояновский мясокомбинат""",799,560.0
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Десерты, желе","ООО ""Преображенский молочный комбинат""",15,56.0
Детские товары,Детское питание,Детские смеси,Нестле Свисс С. А.,285,483.9
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлеб,"ООО ""Сентрум""",41,253.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""Питэко""",24,280.0
Бакалея,"Растительные масла, соусы",Уксусы и маринады,"АО ""Виртекс""",112,70.0
Бакалея,Диетические продукты,Безглютеновые и соевые продукты,"ООО ""Макарон-Сервис""",96,474.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ОАО ""Великоновгородский мясной двор""",69,102.0
Бакалея,Консервы и мёд,Грибные консервы,"ООО ""Меленковский консервный завод""",284,15.0
